epoch,train_loss,train_acc,val_loss,val_acc,lr
1,1.6326,0.2543,1.4983,0.2082,0.000100
2,1.2658,0.4523,1.2806,0.4857,0.000100
3,0.9576,0.5816,0.8666,0.7265,0.000100
4,0.7166,0.6901,0.7857,0.7347,0.000100
5,0.4938,0.7786,0.8538,0.6694,0.000100
6,0.4065,0.8160,0.8506,0.6000,0.000100
7,0.2759,0.8733,1.2033,0.7469,0.000100
8,0.2996,0.9010,0.7162,0.7918,0.000100
9,0.2367,0.9062,0.8507,0.7592,0.000100
10,0.1036,0.9540,1.0463,0.7102,0.000100
11,0.0564,0.9740,1.8481,0.6490,0.000100
12,0.0803,0.9688,1.0981,0.7224,0.000050
13,0.0605,0.9714,1.3646,0.7592,0.000050
