epoch,train_loss,train_acc,val_loss,val_acc,lr
1,1.4385,0.3811,1.3930,0.3959,0.000100
2,0.8929,0.7405,0.9697,0.6735,0.000100
3,0.5660,0.8516,0.7595,0.7224,0.000100
4,0.3445,0.9245,0.6450,0.7796,0.000100
5,0.2134,0.9540,0.6350,0.7837,0.000100
6,0.1454,0.9722,0.5976,0.7714,0.000100
7,0.1039,0.9757,0.6592,0.7755,0.000100
8,0.0772,0.9870,0.5895,0.7796,0.000100
9,0.0575,0.9913,0.6466,0.7837,0.000100
10,0.0533,0.9896,0.6866,0.7714,0.000100
11,0.0617,0.9870,0.8025,0.7265,0.000100
12,0.0606,0.9844,0.8307,0.7551,0.000050
13,0.0463,0.9896,0.6680,0.7959,0.000050
