epoch,train_loss,train_acc,val_loss,val_acc,lr
1,1.6021,0.2561,1.5880,0.3959,0.000100
2,1.5632,0.4167,1.5464,0.4776,0.000100
3,1.4917,0.5035,1.4868,0.4531,0.000100
4,1.3577,0.5842,1.2786,0.5796,0.000100
5,1.1510,0.5990,1.0408,0.6408,0.000100
6,0.9342,0.6858,0.9305,0.6571,0.000100
7,0.7525,0.7439,0.8821,0.6653,0.000100
8,0.5616,0.8238,0.7769,0.7224,0.000100
9,0.4499,0.8359,0.6956,0.7224,0.000100
10,0.3045,0.9115,0.6860,0.7347,0.000100
11,0.2563,0.9201,0.9297,0.6939,0.000100
12,0.1949,0.9375,0.7209,0.7388,0.000100
13,0.1682,0.9505,0.8177,0.7184,0.000100
14,0.1601,0.9497,0.9862,0.6816,0.000050
15,0.1333,0.9601,0.7071,0.7633,0.000050
